wms_company_id,wms_warehouse_id,internal_id,asn_id,asn_line_id,original_qty,receive_qty,create_time,closed_date,receipt_time
CE,BOSE_SH,19839.0,1021042420,132931.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132932.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132852.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132853.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132854.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132855.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132856.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132857.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132858.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132859.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132860.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132861.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132862.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132863.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132864.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132865.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132866.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132867.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132868.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132869.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132870.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132871.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132872.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132873.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132874.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132875.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132876.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132877.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132878.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132879.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132880.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132881.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132882.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
CE,BOSE_SH,19839.0,1021042420,132883.0,1.0,1.0,2020-10-08 09:06:27,2021-06-02 16:45:24,2020-10-15 00:00:00
