wms_warehouse_name,wms_company_name,order_id,shipment_id,sku_code,closed_date,create_date,shipped_qty,original_order_qty,shipped_weight
BOSE_SH,CE,0324470214,287098.0,841013-0010,2021-06-01 19:29:21,2021-05-31 08:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324470239,287118.0,838460-0010,2021-06-01 19:29:11,2021-05-31 08:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470240,287110.0,738526-0020,2021-06-01 19:29:10,2021-05-31 08:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470241,287104.0,834167-0100,2021-06-01 19:29:10,2021-05-31 08:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470242,287116.0,834167-0300,2021-06-01 19:29:11,2021-05-31 08:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470243,287113.0,749277-0030,2021-06-01 19:29:11,2021-05-31 08:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470244,287121.0,716624-0020,2021-06-01 19:29:12,2021-05-31 08:36:03,1.0,1.0,0.0
BOSE_SH,CE,0324470244,287121.0,716624-0010,2021-06-01 19:29:12,2021-05-31 08:36:03,1.0,1.0,0.0
BOSE_SH,CE,0324470300,287043.0,841013-0010,2021-06-01 19:29:17,2021-05-31 06:51:11,1.0,1.0,0.0
BOSE_SH,CE,0324470301,287025.0,831744-0100,2021-06-01 19:29:16,2021-05-31 06:51:09,1.0,1.0,0.0
BOSE_SH,CE,0324470302,287050.0,831744-0100,2021-06-01 19:29:17,2021-05-31 06:51:12,1.0,1.0,0.0
BOSE_SH,CE,0324470303,287054.0,841013-0010,2021-06-01 19:29:17,2021-05-31 07:06:01,1.0,1.0,0.0
BOSE_SH,CE,0324470304,287058.0,841013-0010,2021-06-01 19:29:18,2021-05-31 07:06:01,1.0,1.0,0.0
BOSE_SH,CE,0324470310,287069.0,841013-0010,2021-06-01 19:29:18,2021-05-31 07:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470312,287090.0,841013-0010,2021-06-01 19:29:20,2021-05-31 07:36:03,1.0,1.0,0.0
BOSE_SH,CE,0324470313,287073.0,841013-0010,2021-06-01 19:29:18,2021-05-31 07:36:03,1.0,1.0,0.0
BOSE_SH,CE,0324470315,287088.0,841013-0010,2021-06-01 19:29:20,2021-05-31 07:36:03,1.0,1.0,0.0
BOSE_SH,CE,0324470320,287102.0,841013-0010,2021-06-01 19:29:21,2021-05-31 08:06:03,1.0,1.0,0.0
BOSE_SH,CE,0324470321,287100.0,841013-0010,2021-06-01 19:29:21,2021-05-31 08:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324470322,287101.0,805746-0030,2021-06-01 19:29:21,2021-05-31 08:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324470339,287114.0,834167-0100,2021-06-01 19:29:11,2021-05-31 08:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470340,287105.0,639414-1330,2021-06-01 19:29:10,2021-05-31 08:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470341,287120.0,738526-0020,2021-06-01 19:29:12,2021-05-31 08:36:03,1.0,1.0,0.0
BOSE_SH,CE,0324470693,287103.0,761529-0020,2021-06-01 19:29:22,2021-05-31 08:26:01,1.0,1.0,0.0
BOSE_SH,CE,0324470697,287119.0,838460-0010,2021-06-01 19:29:12,2021-05-31 08:36:02,2.0,2.0,0.0
BOSE_SH,CE,0324470698,287111.0,354079-0060,2021-06-01 19:29:11,2021-05-31 08:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470699,287107.0,776716-0020,2021-06-01 19:29:10,2021-05-31 08:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470699,287107.0,730485-0030,2021-06-01 19:29:10,2021-05-31 08:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470700,287106.0,834167-0100,2021-06-01 19:29:10,2021-05-31 08:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470766,287123.0,768973-5140,2021-06-01 19:29:55,2021-05-31 18:46:02,1.0,1.0,0.0
BOSE_SH,CE,0324470766,287123.0,760093-5140,2021-06-01 19:29:55,2021-05-31 18:46:02,1.0,1.0,0.0
BOSE_SH,CE,0324470854,287146.0,373511-5110,2021-06-01 19:30:28,2021-06-01 03:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324470855,287138.0,761683-5140,2021-06-01 19:29:55,2021-06-01 03:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324470900,287117.0,328897-002S,2021-06-01 19:29:11,2021-05-31 08:36:02,1.0,1.0,0.0
BOSE_SH,CE,0324470956,287126.0,764731-0010,2021-06-01 19:30:13,2021-05-31 18:46:02,1.0,1.0,0.0
BOSE_SH,CE,0324470956,287126.0,764731-0010,2021-06-01 19:30:13,2021-05-31 18:46:02,1.0,1.0,0.0
BOSE_SH,CE,0324470989,287128.0,805746-0030,2021-06-01 19:29:29,2021-06-01 01:06:06,1.0,1.0,0.0
BOSE_SH,CE,0324471005,287151.0,373511-5110,2021-06-01 19:30:14,2021-06-01 03:06:03,1.0,1.0,0.0
BOSE_SH,CE,0324471006,287147.0,373511-5110,2021-06-01 19:30:13,2021-06-01 03:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324471007,287140.0,373511-5110,2021-06-01 19:30:26,2021-06-01 03:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324471008,287148.0,761683-5140,2021-06-01 19:29:55,2021-06-01 03:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324471070,287162.0,373511-5110,2021-06-01 19:29:39,2021-06-01 05:11:06,10.0,10.0,0.0
BOSE_SH,CE,0324471071,287179.0,373511-5110,2021-06-01 19:29:32,2021-06-01 05:11:07,6.0,6.0,0.0
BOSE_SH,CE,0324471072,287181.0,373511-5110,2021-06-01 19:29:50,2021-06-01 05:11:07,20.0,20.0,0.0
BOSE_SH,CE,0324471073,287172.0,761683-5140,2021-06-01 19:29:31,2021-06-01 05:11:07,1.0,1.0,0.0
BOSE_SH,CE,0324471074,287168.0,373511-5110,2021-06-01 19:30:14,2021-06-01 05:11:06,1.0,1.0,0.0
BOSE_SH,CE,0324471391,287124.0,738526-0020,2021-06-01 19:29:12,2021-05-31 18:46:02,1.0,1.0,0.0
BOSE_SH,CE,0324471421,287145.0,373511-5110,2021-06-01 19:30:27,2021-06-01 03:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324471421,287145.0,373511-5110,2021-06-01 19:30:27,2021-06-01 03:06:02,1.0,1.0,0.0
BOSE_SH,CE,0324471422,287150.0,373511-5110,2021-06-01 19:30:14,2021-06-01 03:06:03,1.0,1.0,0.0
BOSE_SH,CE,0324471450,287174.0,810614-5140,2021-06-01 19:29:43,2021-06-01 05:11:07,34.0,34.0,0.0
BOSE_SH,CE,0324471452,287178.0,373511-5110,2021-06-01 19:29:31,2021-06-01 05:11:07,5.0,5.0,0.0
BOSE_SH,CE,0324471453,287165.0,835799-0200,2021-06-01 19:29:42,2021-06-01 05:11:06,166.0,166.0,0.0
BOSE_SH,CE,0324471453,287165.0,835799-0100,2021-06-01 19:29:42,2021-06-01 05:11:06,300.0,300.0,0.0
BOSE_SH,CE,0324471454,287170.0,768973-5140,2021-06-01 19:29:43,2021-06-01 05:11:07,50.0,50.0,0.0
BOSE_SH,CE,0324471455,287184.0,761529-0010,2021-06-01 19:29:32,2021-06-01 05:11:07,1.0,1.0,0.0
BOSE_SH,CE,0324471455,287184.0,789564-0020,2021-06-01 19:29:32,2021-06-01 05:11:07,5.0,5.0,0.0
BOSE_SH,CE,0324471455,287184.0,839769-0100,2021-06-01 19:29:32,2021-06-01 05:11:07,5.0,5.0,0.0
BOSE_SH,CE,0324471455,287184.0,835799-0200,2021-06-01 19:29:32,2021-06-01 05:11:07,2.0,2.0,0.0
BOSE_SH,CE,0324471455,287184.0,835799-0100,2021-06-01 19:29:32,2021-06-01 05:11:07,2.0,2.0,0.0
BOSE_SH,CE,0324471455,287184.0,831744-0100,2021-06-01 19:29:32,2021-06-01 05:11:07,2.0,2.0,0.0
BOSE_SH,CE,0324471455,287184.0,794297-0300,2021-06-01 19:29:32,2021-06-01 05:11:07,1.0,1.0,0.0
BOSE_SH,CE,0324471455,287184.0,794297-0100,2021-06-01 19:29:32,2021-06-01 05:11:07,1.0,1.0,0.0
BOSE_SH,CE,0324471455,287184.0,851337-0100,2021-06-01 19:29:32,2021-06-01 05:11:07,5.0,5.0,0.0
BOSE_SH,CE,0324471455,287184.0,761529-0030,2021-06-01 19:29:32,2021-06-01 05:11:07,2.0,2.0,0.0
BOSE_SH,CE,0324471455,287184.0,761529-0020,2021-06-01 19:29:32,2021-06-01 05:11:07,1.0,1.0,0.0
BOSE_SH,CE,0324471455,287184.0,767520-5140,2021-06-01 19:29:32,2021-06-01 05:11:07,2.0,2.0,0.0
BOSE_SH,CE,0324471455,287184.0,760093-5140,2021-06-01 19:29:32,2021-06-01 05:11:07,2.0,2.0,0.0
BOSE_SH,CE,0324471457,287161.0,794297-0100,2021-06-01 19:29:36,2021-06-01 05:11:06,5.0,5.0,0.0
BOSE_SH,CE,0324471457,287161.0,760093-5140,2021-06-01 19:29:36,2021-06-01 05:11:06,10.0,10.0,0.0
