wms_company_id,sku_code,order_id,shipment_id,order_line,original_order_qty,shipped_qty,create_date,closed_date
Michelin2,372838_999,CPP21060501,177400.0,1141453.0,1.0,1.0,2021-06-05 13:36:03,2021-06-06 04:56:01
Michelin2,372838_999,CPP21060501,177400.0,1141452.0,1.0,1.0,2021-06-05 13:36:03,2021-06-06 04:56:01
Michelin2,372838_999,CPP21060501,177400.0,1141451.0,1.0,1.0,2021-06-05 13:36:03,2021-06-06 04:56:01
Michelin,401328_105,3878918,176559.0,1134504.0,800.0,800.0,2021-06-02 05:46:02,2021-06-07 15:00:25
Michelin,401328_105,3878922,176564.0,1134509.0,800.0,800.0,2021-06-02 05:51:02,2021-06-07 15:00:31
Michelin,950403_106,3888770,177089.0,1139399.0,1760.0,1760.0,2021-06-04 08:26:02,2021-06-07 11:06:26
Michelin,428635_101,3889263,177138.0,1139761.0,420.0,420.0,2021-06-04 09:11:02,2021-06-07 18:43:39
Michelin,362124_112,3892631,177300.0,1140970.0,288.0,288.0,2021-06-05 06:41:01,2021-06-07 13:16:39
Michelin,677456_104,3814038,172105.0,1101150.0,500.0,500.0,2021-05-14 08:26:05,2021-06-08 17:14:08
Michelin,495612_124,3879656,176636.0,1135796.0,550.0,550.0,2021-06-02 08:41:02,2021-06-08 13:22:49
Michelin,495612_124,3879673,176637.0,1135797.0,550.0,550.0,2021-06-02 08:41:02,2021-06-08 13:22:49
Michelin,120217_105,3887597,176978.0,1138482.0,810.0,810.0,2021-06-04 03:26:01,2021-06-08 17:14:18
Michelin,839180_101,3887710,176981.0,1141968.0,750.0,37.0,2021-06-04 03:51:01,2021-06-08 17:14:18
Michelin,839180_101,3887710,176981.0,1138488.0,750.0,713.0,2021-06-04 03:51:01,2021-06-08 17:14:18
Michelin,839180_101,3887712,176986.0,1138502.0,750.0,750.0,2021-06-04 03:51:02,2021-06-08 17:14:18
Michelin,839180_101,3887714,176987.0,1138503.0,750.0,750.0,2021-06-04 03:51:02,2021-06-08 17:14:17
Michelin,428635_101,3889278,177139.0,1139762.0,420.0,420.0,2021-06-04 09:11:02,2021-06-08 17:14:08
Michelin,428635_101,3889285,177142.0,1139765.0,420.0,420.0,2021-06-04 09:11:02,2021-06-08 17:14:08
Michelin,710345_120,3897272,177531.0,1142072.0,340.0,340.0,2021-06-07 03:21:01,2021-06-08 12:51:26
Michelin,892524_115,3897713,177649.0,1142229.0,979.0,979.0,2021-06-07 05:26:02,2021-06-08 17:14:33
Michelin,996667_103,3902131,177865.0,1143906.0,539.0,539.0,2021-06-07 22:16:01,2021-06-08 13:00:27
Michelin,439132_101,CTSC21060801,177866.0,1143907.0,50.0,50.0,2021-06-08 00:21:01,2021-06-08 18:27:11
Michelin,495612_124,CTSC21060802,177989.0,1144418.0,50.0,50.0,2021-06-08 07:26:01,2021-06-08 18:28:01
Michelin,677456_104,3814041,172106.0,1101151.0,500.0,500.0,2021-05-14 08:26:05,2021-06-09 18:02:27
Michelin,495612_124,3879677,176641.0,1135841.0,550.0,550.0,2021-06-02 08:41:05,2021-06-09 13:13:55
Michelin,428635_101,3889295,177141.0,1139764.0,420.0,420.0,2021-06-04 09:11:02,2021-06-09 18:02:28
Michelin,428635_101,3889304,177146.0,1139774.0,420.0,420.0,2021-06-04 09:16:02,2021-06-09 18:02:28
Michelin,439132_101,3889410,177150.0,1139782.0,405.0,405.0,2021-06-04 09:16:03,2021-06-09 13:06:58
Michelin,401328_105,3897123,177523.0,1142037.0,800.0,800.0,2021-06-07 02:21:05,2021-06-09 13:13:44
Michelin,401328_105,3897124,177524.0,1142038.0,800.0,800.0,2021-06-07 02:21:05,2021-06-09 13:13:44
Michelin,389858_111,3897383,177639.0,1142195.0,370.0,370.0,2021-06-07 03:56:02,2021-06-09 18:02:55
Michelin,243266_101,3899685,177756.0,1142710.0,504.0,504.0,2021-06-07 08:16:03,2021-06-09 18:02:42
Michelin,243266_101,3899688,177757.0,1142711.0,504.0,504.0,2021-06-07 08:16:04,2021-06-09 18:02:42
Michelin,693182_102,3899704,177759.0,1142728.0,74.0,74.0,2021-06-07 08:16:04,2021-06-09 18:02:42
Michelin,693182_102,3899704,177759.0,1142727.0,70.0,70.0,2021-06-07 08:16:04,2021-06-09 18:02:42
Michelin,693182_102,3899704,177759.0,1142726.0,336.0,336.0,2021-06-07 08:16:04,2021-06-09 18:02:42
Michelin,362124_112,3902929,177881.0,1143999.0,612.0,612.0,2021-06-08 03:56:01,2021-06-09 13:06:42
Michelin,950403_106,3904403,178006.0,1144615.0,704.0,704.0,2021-06-08 08:56:01,2021-06-09 00:02:08
Michelin,555774_101,3907001,178102.0,1145443.0,120.0,120.0,2021-06-08 13:41:01,2021-06-09 12:38:27
Michelin,495612_124,3879715,176644.0,1135862.0,550.0,550.0,2021-06-02 08:51:01,2021-06-10 15:08:22
Michelin,839180_101,3887711,176982.0,1138489.0,750.0,750.0,2021-06-04 03:51:01,2021-06-10 13:50:23
Michelin,839180_101,3887718,176988.0,1138504.0,750.0,750.0,2021-06-04 03:56:01,2021-06-10 13:50:23
Michelin,677456_104,3897922,177655.0,1142239.0,500.0,500.0,2021-06-07 05:56:02,2021-06-10 13:51:24
Michelin,428635_101,3899058,177704.0,1142305.0,420.0,420.0,2021-06-07 07:01:06,2021-06-10 13:51:26
Michelin,428635_101,3899059,177705.0,1142306.0,420.0,420.0,2021-06-07 07:01:07,2021-06-10 13:51:25
Michelin,428635_101,3899061,177706.0,1142307.0,420.0,420.0,2021-06-07 07:01:07,2021-06-10 13:51:25
Michelin,439132_101,3899100,177711.0,1142312.0,405.0,405.0,2021-06-07 07:06:09,2021-06-10 14:49:30
