TRSC #,Unnamed: 0,WH,COMPANY,Create DT,Confirm DT,Product,Description,TYPE,Status,Ship ID,awb,INV,PO,INB#,contract_no,From Loc,To Loc,Qty,UOM,BottlingDT,Transaction_type,ALLOCATION_ZONE,closed_date
6475969,3395,FAS,Pernod,6/17/2021,6/18/2021,12203,芝华士·新境12年苏格兰威士忌-不含内盒 6 X 150CL,Order Pick,Paid Normal,31957337,,,,,,2-39-C-01,SHIP-1,7,BT,1/1/1999  12:00:00 AM,Order Pick,A-FAS,20210618
6475973,3394,FAS,Pernod,6/17/2021,6/18/2021,4636,马爹利XO干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957336,OOLU2661528670,,20503023,411360,2103ACWMX047,01-12-A,SHIP-1,6,BT,3/17/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475975,3393,FAS,Pernod,6/17/2021,6/18/2021,3807,马爹利蓝带干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957336,OOLU2661168630,,20502985,386978,2103ACWMX043,2-33-A-30,SHIP-1,6,BT,3/12/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475977,3392,FAS,Pernod,6/17/2021,6/18/2021,15307,格兰威特单一麦芽苏格兰威士忌18年陈酿 6 X 70CL,Order Pick,Jin2 Normal,31957336,ONEYLIVA68642700F,,20015112,320397,,2-27-C-25,SHIP-1,12,BT,1/26/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6475981,3398,FAS,Pernod,6/17/2021,6/18/2021,12203,芝华士·新境12年苏格兰威士忌-不含内盒 6 X 150CL,Order Pick,Paid Normal,31957334,,,,,,2-39-C-01,SHIP-1,42,BT,1/1/1999  12:00:00 AM,Order Pick,A-FAS,20210618
6475985,3397,FAS,Pernod,6/17/2021,6/18/2021,12203,芝华士·新境12年苏格兰威士忌-不含内盒 6 X 150CL,Order Pick,Paid Normal,31957328,,,,,,2-39-C-01,SHIP-1,23,BT,1/1/1999  12:00:00 AM,Order Pick,A-FAS,20210618
6475989,3396,FAS,Pernod,6/17/2021,6/18/2021,12203,芝华士·新境12年苏格兰威士忌-不含内盒 6 X 150CL,Order Pick,Paid Normal,31957327,,,,,,2-39-C-01,SHIP-1,42,BT,1/1/1999  12:00:00 AM,Order Pick,A-FAS,20210618
6475993,3391,FAS,Pernod,6/17/2021,6/18/2021,4687,马爹利XO干邑白兰地-有盒装 12 X 70CL,Order Pick,Jin2 Normal,31957326,,,,,,2-25-B-06,SHIP-1,24,BT,12/17/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6475997,3409,FAS,Pernod,6/17/2021,6/18/2021,12203,芝华士·新境12年苏格兰威士忌-不含内盒 6 X 150CL,Order Pick,Paid Normal,31957325,,,,,,2-39-C-01,SHIP-1,42,BT,1/1/1999  12:00:00 AM,Order Pick,A-FAS,20210618
6476001,3408,FAS,Pernod,6/17/2021,6/18/2021,5797,马爹利名士干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957321,EGLV540100074015,,20503130,439671,FRX-CNS-2104-0059,2-34-A-24,SHIP-1,3,BT,12/22/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6476003,3407,FAS,Pernod,6/17/2021,6/18/2021,7662,马爹利鼎盛VSOP干邑白兰地 6 X 50CL,Order Pick,Jin2 Normal,31957321,OOLU2661168610,,20502980,386695,2103ACWMX042,2-28-B-29,SHIP-1,6,BT,3/16/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476007,3403,FAS,Pernod,6/17/2021,6/18/2021,7662,马爹利鼎盛VSOP干邑白兰地 6 X 50CL,Order Pick,Jin2 Normal,31957318,OOLU2661168610,,20502980,386695,2103ACWMX042,2-28-B-29,SHIP-1,1,BT,3/16/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476009,3406,FAS,Pernod,6/17/2021,6/18/2021,5797,马爹利名士干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957318,EGLV540100074015,,20503130,439671,FRX-CNS-2104-0059,2-34-A-24,SHIP-1,1,BT,12/22/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6476011,3405,FAS,Pernod,6/17/2021,6/18/2021,4636,马爹利XO干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957318,OOLU2661528670,,20503023,411360,2103ACWMX047,01-12-A,SHIP-1,1,BT,3/17/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476013,3404,FAS,Pernod,6/17/2021,6/18/2021,3807,马爹利蓝带干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957318,OOLU2661168630,,20502985,386978,2103ACWMX043,2-33-A-30,SHIP-1,1,BT,3/12/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476017,3401,FAS,Pernod,6/17/2021,6/18/2021,4636,马爹利XO干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957314,OOLU2661528670,,20503023,411360,2103ACWMX047,01-12-A,SHIP-1,1,BT,3/17/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476019,3402,FAS,Pernod,6/17/2021,6/18/2021,5797,马爹利名士干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957314,EGLV540100074015,,20503130,439671,FRX-CNS-2104-0059,2-34-A-24,SHIP-1,1,BT,12/22/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6476021,3400,FAS,Pernod,6/17/2021,6/18/2021,3807,马爹利蓝带干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957314,OOLU2661168630,,20502985,386978,2103ACWMX043,2-33-A-30,SHIP-1,1,BT,3/12/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476023,3399,FAS,Pernod,6/17/2021,6/18/2021,7662,马爹利鼎盛VSOP干邑白兰地 6 X 50CL,Order Pick,Jin2 Normal,31957314,OOLU2661168610,,20502980,386695,2103ACWMX042,2-28-B-29,SHIP-1,1,BT,3/16/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476027,3415,FAS,Pernod,6/16/2021,6/18/2021,4687,马爹利XO干邑白兰地-有盒装 12 X 70CL,Order Pick,Jin2 Normal,31957269,,,,,,2-25-B-06,SHIP-1,24,BT,12/17/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6476029,3414,FAS,Pernod,6/16/2021,6/18/2021,15307,格兰威特单一麦芽苏格兰威士忌18年陈酿 6 X 70CL,Order Pick,Jin2 Normal,31957269,ONEYLIVA68642700F,,20015112,320397,,2-27-C-25,SHIP-1,12,BT,1/26/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476033,3413,FAS,Pernod,6/16/2021,6/18/2021,4687,马爹利XO干邑白兰地-有盒装 12 X 70CL,Order Pick,Jin2 Normal,31957261,,,,,,2-25-B-06,SHIP-1,12,BT,12/17/2020  12:00:00 AM,Order Pick,A-FAS,20210618
6476037,3412,FAS,Pernod,6/16/2021,6/18/2021,15307,格兰威特单一麦芽苏格兰威士忌18年陈酿 6 X 70CL,Order Pick,Jin2 Normal,31957259,ONEYLIVA68642700F,,20015112,320397,,2-27-C-25,SHIP-1,12,BT,1/26/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476039,3411,FAS,Pernod,6/16/2021,6/18/2021,15558,格兰威特单一麦芽苏格兰威士忌15年法国橡木桶陈酿 6 X 70CL,Order Pick,Jin2 Normal,31957259,ONEYLIVB07974900,,20016064,383716,,2-32-A-31,SHIP-1,12,BT,2/25/2021  12:00:00 AM,Order Pick,A-FAS,20210618
6476043,3410,FAS,Pernod,6/16/2021,6/18/2021,3807,马爹利蓝带干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,31957240,OOLU2661168630,,20502985,386978,2103ACWMX043,2-33-A-30,SHIP-1,24,BT,3/12/2021  12:00:00 AM,Order Pick,A-FAS,20210618
