wms_company_id,sku_code,asn_id,original_qty,receive_qty,create_time,closed_date,asn_line_id,inc_day
Pernod,12417,ONEYLIVB12157500,15120,14400,2021/5/28 8:47,2021/6/2 18:59,248958,20210602
Pernod,12417,ONEYLIVB12158600,15120,15120,2021/5/28 8:44,2021/6/2 19:07,248954,20210602
Pernod,12417,ONEYLIVB12160600,720,720,2021/5/28 8:43,2021/6/2 18:59,249046,20210602
Pernod,12417,ONEYLIVB12160600,15120,14400,2021/5/28 8:43,2021/6/2 18:59,248953,20210602
Pernod,11468,ONEYLIVB12165400,1440,1440,2021/5/31 6:29,2021/6/2 18:59,249050,20210602
Pernod,11468,ONEYLIVB12165400,15120,13680,2021/5/31 6:29,2021/6/2 18:59,249007,20210602
Pernod,11468,ONEYLIVB12168700,1440,1440,2021/5/31 6:30,2021/6/2 18:59,249051,20210602
Pernod,11468,ONEYLIVB12168700,15120,13680,2021/5/31 6:30,2021/6/2 18:59,249008,20210602
Pernod,11468,ONEYLIVB12183400,15120,10080,2021/5/31 6:31,2021/6/2 19:07,249009,20210602
Pernod,11468,ONEYLIVB12183400,5040,5040,2021/5/31 6:31,2021/6/2 19:07,249040,20210602
Pernod,12417,ONEYLIVB14992700,15120,12960,2021/5/28 8:49,2021/6/2 19:07,248960,20210602
Pernod,12417,ONEYLIVB14992700,720,720,2021/5/28 8:49,2021/6/2 19:07,249043,20210602
Pernod,12417,ONEYLIVB14992700,720,720,2021/5/28 8:49,2021/6/2 19:07,249042,20210602
Pernod,12417,ONEYLIVB14992700,720,720,2021/5/28 8:49,2021/6/2 19:07,249041,20210602
Pernod,DBS0N8,COSU6292432637,5040,5040,2021/5/21 5:29,2021/6/3 11:07,248833,20210603
Pernod,DBC118,COSU6292432637,9240,9240,2021/5/21 5:29,2021/6/3 11:07,248832,20210603
Pernod,DBS0N8,COSU6292432637,3360,4200,2021/5/21 5:29,2021/6/3 11:07,248834,20210603
Pernod,5537,EGLV540100057722,15840,15840,2021/5/31 8:26,2021/6/3 13:15,249013,20210603
Pernod,3807,EGLV540100090495,17280,14400,2021/5/31 8:25,2021/6/3 16:16,249012,20210603
Pernod,3807,EGLV540100090495,720,720,2021/5/31 8:25,2021/6/3 16:16,249061,20210603
Pernod,3807,EGLV540100090495,720,720,2021/5/31 8:25,2021/6/3 16:16,249062,20210603
Pernod,3807,EGLV540100090495,1440,1440,2021/5/31 8:25,2021/6/3 16:16,249063,20210603
Pernod,4636,LHV2473795,12672,4032,2021/5/31 8:27,2021/6/3 16:16,249014,20210603
Pernod,4636,LHV2473795,8640,8640,2021/5/31 8:27,2021/6/3 16:16,249066,20210603
Pernod,3807,ONEYLEHB07646501,17280,17280,2021/5/31 8:23,2021/6/3 13:15,249011,20210603
