,WH,COMPANY,Create DT,Confirm DT,Product,Description,TYPE,Status,TRSC #,Ship ID,awb,INV,PO,INB#,contract_no,From Loc,To Loc,Qty,UOM,BottlingDT,Transaction_type,ALLOCATION_ZONE
21,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426762,42021931,,,,,,5-04-C-23,SHIP-1,456,BT,11/24/2020  12:00:00 AM,Order Pick,A-FAS
22,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426764,42021931,,,,,,5-04-C-24,SHIP-1,672,BT,11/24/2020  12:00:00 AM,Order Pick,A-FAS
23,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426766,42021931,,,,,,5-04-C-25,SHIP-1,672,BT,11/24/2020  12:00:00 AM,Order Pick,A-FAS
24,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426768,42021931,,,,,,5-04-C-26,SHIP-1,672,BT,11/24/2020  12:00:00 AM,Order Pick,A-FAS
25,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426770,42021931,,,,,,5-04-C-27,SHIP-1,672,BT,11/24/2020  12:00:00 AM,Order Pick,A-FAS
26,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426772,42021931,,,,,,5-04-C-28,SHIP-1,456,BT,11/24/2020  12:00:00 AM,Order Pick,A-FAS
27,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426756,42021932,,,,,,5-04-C-28,SHIP-1,216,BT,11/24/2020  12:00:00 AM,Order Pick,A-FAS
28,FAS,Pernod,5/28/2021,6/1/2021,DBL0N7,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426758,42021932,,,,,,5-04-C-29,SHIP-1,384,BT,11/24/2020  12:00:00 AM,Order Pick,A-FAS
29,FAS,Pernod,5/28/2021,6/1/2021,DBC017,传奇源自拉菲罗斯柴尔德经典海星红葡萄酒 6 X 75CL,Order Pick,Jin2 Normal,6426752,42021933,,,,,,3-11-A-18,SHIP-1,120,BT,10/26/2020  12:00:00 AM,Order Pick,A-FAS
30,FAS,Pernod,5/31/2021,6/1/2021,005777,马爹利名士干邑白兰地-无盒装 12 X 70CL,Order Pick,Paid Normal,6426792,31956949,,,,,,3-12-A-06,SHIP-1,42,BT,9/4/2019  12:00:00 AM,Order Pick,A-FAS
31,FAS,Pernod,5/31/2021,6/1/2021,PJB822,美丽时光·巴黎艺术年份香槟-夜光版 6 X 75CL,Order Pick,Jin2 Normal,6426828,31956916,,,,,,FS-53-A-003,SHIP-1,12,BT,1/4/2021  12:00:00 AM,Order Pick,A-FAS
32,FAS,Pernod,5/31/2021,6/1/2021,004636,马爹利XO干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426826,31956916,OOLU2659546700,,20502708.0,261586.0,2102ACWMX074,2-29-B-17,SHIP-1,24,BT,2/9/2021  12:00:00 AM,Order Pick,A-FAS
33,FAS,Pernod,5/31/2021,6/1/2021,PJ2721,美丽时光·巴黎艺术经典香槟 6 X 75CL,Order Pick,Jin2 Normal,6426830,31956916,ONEYLEHA58403801,,20501459.0,262056.0,FRX-CNS-2101-0069,FS-63-B-020,SHIP-1,28,BT,1/6/2021  12:00:00 AM,Order Pick,A-FAS
34,FAS,Pernod,5/31/2021,6/1/2021,003807,马爹利蓝带干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426824,31956916,ONEYLEHA58477502,,20502664.0,322609.0,FRX-CNS-2102-0003,2-41-B-03,SHIP-1,24,BT,1/5/2021  12:00:00 AM,Order Pick,A-FAS
35,FAS,Pernod,5/31/2021,6/1/2021,AB1626,亚伯乐斯佩塞单一麦芽苏格兰威士忌16年双桶陈酿 3 X 70CL,Order Pick,Jin2 Normal,6426820,31956931,,,,,,2-29-A-12,SHIP-1,3,BT,2/4/2021  12:00:00 AM,Order Pick,A-FAS
36,FAS,Pernod,5/31/2021,6/1/2021,015307,格兰威特单一麦芽苏格兰威士忌18年陈酿 6 X 70CL,Order Pick,Jin2 Normal,6426818,31956931,ONEYLIVA68556400,,20014784.0,261572.0,,2-42-A-15,SHIP-1,6,BT,1/26/2021  12:00:00 AM,Order Pick,A-FAS
37,FAS,Pernod,5/31/2021,6/1/2021,DBL717,传奇源自拉菲罗斯柴尔德波尔多红葡萄酒 48 X 18.7CL,Order Pick,Paid Normal,6426814,31956936,,,,,,FS-52-B-008,SHIP-1,5,BT,12/31/4712  12:00:00 AM,Order Pick,A-FAS
38,FAS,Pernod,5/31/2021,6/1/2021,005797,马爹利名士干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426808,31956938,OOLU2661158510,,20502880.0,372777.0,2103ACWMX034,2-33-D-26,SHIP-1,5,BT,3/4/2021  12:00:00 AM,Order Pick,A-FAS
39,FAS,Pernod,5/31/2021,6/1/2021,003807,马爹利蓝带干邑白兰地-无盒装 12 X 70CL,Order Pick,Jin2 Normal,6426810,31956938,ONEYLEHA58477502,,20502664.0,322609.0,FRX-CNS-2102-0003,2-41-B-03,SHIP-1,7,BT,1/5/2021  12:00:00 AM,Order Pick,A-FAS
40,FAS,Pernod,5/31/2021,6/1/2021,018102,芝华士·XV15年苏格兰威士忌(透金版) 120 X 5CL,Order Pick,Jin2 Normal,6426796,31956941,ONEYLIVB03766400,,20014964.0,295247.0,,2-25-B-34,SHIP-1,120,BT,12/31/4712  12:00:00 AM,Order Pick,A-FAS
41,FAS,Pernod,5/31/2021,6/1/2021,012205,芝华士13年柔醇黑麦桶限定版苏格兰威士忌-有盒装 12 X 50CL,Order Pick,Jin2 Normal,6426800,31956941,ONEYLIVB05481700,,20015720.0,369319.0,,2-25-C-12,SHIP-1,12,BT,2/18/2021  12:00:00 AM,Order Pick,A-FAS
