PL,WORK_ZONE,Sloc,Product_Code,Quantity,Stor_bin,Styp,No_of_Pallet
G0,WH Bonded,1001,SV193A,235.00000,A-16-45-2,34,4
G0,WH Bonded,1001,SU651A,145.00000,A-15-54-2,34,2
G0,WH Bonded,1001,SV012A,2.00000,B-02-41-B,34,1
G0,WH Bonded,1001,SV012A,162.00000,B-08-51-2,34,2
G0,WH NoBonded,1001,SV012A,1.00000,DHL-B-01-01,34,1
G0,WH Bonded,1001,SV137A,6.00000,A-12-44-2,34,1
G0,WH Bonded,1001,SV137A,180.00000,A-16-48-2,34,2
G0,WH Bonded,1001,SV137A,180.00000,A-16-52-2,34,2
G0,WH Bonded,1001,SV137A,170.00000,C-02-42-2,34,2
G0,WH Bonded,1001,SU703A,3.00000,A-03-12-2,34,1
G0,WH Bonded,1001,SU703A,216.00000,A-05-29-2,34,2
G0,WH Bonded,1001,SU703A,216.00000,A-05-37-2,34,2
G0,WH Bonded,1001,SU703A,216.00000,C-07-47-2,34,2
G0,WH Bonded,1001,SU703A,216.00000,C-07-49-2,34,2
G0,WH Bonded,1001,SU817A,17.00000,B-11-47-1,34,1
G0,WH Bonded,1001,SU824A,175.00000,B-02-48-2,34,2
G0,WH Bonded,1001,SU824A,360.00000,C-16-44-2,34,3
G0,WH Bonded,1001,SU032A,256.00000,A-03-15-2,34,2
G0,WH Bonded,1001,SU032A,176.00000,A-03-18-2,34,2
G0,WH Bonded,1001,SU165A,81.00000,A-06-48-2,34,1
G0,WH Bonded,1001,SU299A,81.00000,B-01-38-2,34,1
G0,WH Bonded,1001,SU299A,256.00000,B-06-43-2,34,2
G0,WH Bonded,1001,SU509A,46.00000,A-02-40-2,34,1
G0,WH Bonded,1001,SU509A,256.00000,B-08-48-2,34,2
G0,WH Bonded,1001,SU723A,25.00000,A-07-45-2,34,1
G0,WH Bonded,1001,SU723A,264.00000,B-03-50-2,34,2
G0,WH Bonded,1001,SU723A,264.00000,C-04-38-2,34,2
G0,WH Bonded,1001,ST976A,305.00000,B-14-45-1,34,2
G0,WH Bonded,1001,ST991A,303.00000,B-16-43-2,34,2
G0,WH Bonded,1001,SU110A,124.00000,C-07-46-2,34,1
G0,WH Bonded,1001,SU125A,225.00000,A-11-49-2,34,2
G0,WH Bonded,1001,SU129A,234.00000,A-14-41-2,34,2
G0,WH Bonded,1001,SU244A,312.00000,B-15-48-1,34,2
G0,WH Bonded,1001,SU244A,100.00000,C-11-45-2,34,1
G0,WH Bonded,1001,SU259A,60.00000,B-16-44-2,34,1
G0,WH Bonded,1001,SU454A,286.00000,B-15-46-1,34,2
G0,WH Bonded,1001,SU469A,13.00000,A-06-38-2,34,1
G0,WH Bonded,1001,SU469A,312.00000,C-10-52-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,A-01-28-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,A-01-29-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,A-01-30-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,A-02-08-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,A-02-09-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-01-44-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-10-41-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-10-42-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-11-48-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-11-49-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-11-50-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-11-53-2,34,2
G0,WH Bonded,1001,W2080A,308.00000,C-13-41-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-13-42-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-13-43-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-13-44-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-13-48-2,34,2
G0,WH Bonded,1001,W2080A,197.00000,C-13-50-2,34,2
G0,WH Bonded,1001,W2080A,115.00000,C-13-50-2,34,1
G0,WH Bonded,1001,W2080A,312.00000,C-14-41-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-14-42-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-14-43-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-14-44-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-15-40-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-15-41-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-15-42-2,34,2
G0,WH Bonded,1001,W2080A,312.00000,C-16-38-2,34,2
G0,WH Bonded,1001,W2081A,312.00000,C-11-42-2,34,2
G0,WH Bonded,1001,W2081A,312.00000,C-11-44-2,34,2
G0,WH Bonded,1001,W2081A,312.00000,C-11-47-2,34,2
G0,WH Bonded,1001,W2081A,312.00000,C-12-43-2,34,2
G0,WH Bonded,1001,W2081A,312.00000,C-12-54-2,34,2
G0,WH Bonded,1001,W2081A,312.00000,C-14-46-2,34,2
G0,WH Bonded,1001,W2081A,312.00000,C-14-47-2,34,2
G0,WH Bonded,1001,W2081A,312.00000,C-14-48-2,34,2
G0,WH Bonded,1001,W2081A,312.00000,C-16-41-2,34,2
G0,WH Bonded,1001,W2081A,312.00000,C-16-42-2,34,2
G0,WH Bonded,1001,W2081A,122.00000,C-16-47-2,34,1
G0,WH Bonded,1001,W2081A,312.00000,C-16-48-2,34,2
G0,WH Bonded,1001,W2081A,192.00000,C-16-49-2,34,2
G0,WH Bonded,1001,W2081A,120.00000,C-16-49-2,34,1
G0,WH Bonded,1001,W2082A,312.00000,A-02-16-2,34,2
G0,WH Bonded,1001,W2082A,241.00000,A-07-44-1,34,2
G0,WH Bonded,1001,W2082A,312.00000,A-07-45-1,34,2
G0,WH Bonded,1001,W2082A,312.00000,A-07-46-1,34,2
G0,WH Bonded,1001,W2082A,312.00000,A-07-47-1,34,2
G0,WH Bonded,1001,W2082A,312.00000,A-07-48-1,34,2
G0,WH Bonded,1001,W2082A,312.00000,A-07-49-1,34,2
G0,WH Bonded,1001,W2082A,312.00000,A-07-50-1,34,2
G0,WH Bonded,1001,W2082A,312.00000,A-07-51-1,34,2
G0,WH Bonded,1001,W2083A,312.00000,A-15-43-2,34,2
G0,WH Bonded,1001,W2083A,189.00000,C-12-42-2,34,2
G0,WH Bonded,1001,W2083A,118.00000,C-12-42-2,34,1
G0,WH Bonded,1001,W2083A,102.00000,C-12-50-2,34,1
G0,WH Bonded,1001,W2083A,312.00000,C-15-49-2,34,2
G0,WH Bonded,1001,W2083A,312.00000,C-15-50-2,34,2
G0,WH Bonded,1001,SU741A,113.00000,A-08-45-2,34,1
G0,WH Bonded,1001,SU741A,320.00000,A-10-54-2,34,2
G0,WH Bonded,1001,SU743A,320.00000,C-06-42-2,34,2
G0,WH Bonded,1001,SU743A,130.00000,C-16-46-2,34,1
G0,WH Bonded,1001,SU867A,324.00000,A-03-13-2,34,2
G0,WH Bonded,1001,SU867A,293.00000,A-03-20-2,34,2
G0,WH Bonded,1001,SU867A,324.00000,C-10-54-2,34,2
G0,WH Bonded,1001,SU760A,352.00000,A-01-39-2,34,2
G0,WH Bonded,1001,SU760A,44.00000,A-01-39-2,34,1
G0,WH Bonded,1001,SU761A,352.00000,C-16-40-2,34,2
G0,WH Bonded,1001,SU764A,396.00000,A-09-39-2,34,3
G0,WH Bonded,1001,SU764A,391.00000,C-07-48-2,34,3
G0,WH Bonded,1001,SU764A,396.00000,C-10-53-2,34,3
G0,WH Bonded,1001,SU847A,10.00000,C-03-43-2,34,1
G0,WH Bonded,1001,W1003AC,314.00000,C-14-50-2,34,2
G0,WH Bonded,1001,W1003AC,399.00000,C-14-51-2,34,2
G0,WH Bonded,1001,W1003AC,399.00000,C-14-52-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-02-31-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-02-32-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-03-19-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-04-19-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-41-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-42-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-43-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-44-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-45-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-46-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-47-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-48-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-49-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-50-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-51-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-52-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-53-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-07-54-3,34,2
G0,WH Bonded,1001,W1110A,375.00000,A-08-42-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-08-44-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-08-47-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-08-49-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-08-50-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-08-51-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-11-48-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-12-41-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-12-43-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,A-13-50-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-01-43-2,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-15-45-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-15-46-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-37-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-38-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-39-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-40-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-41-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-42-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-43-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-44-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-45-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-46-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-47-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-48-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-49-3,34,2
G0,WH Bonded,1001,W1110A,399.00000,C-16-50-3,34,2
G0,WH Bonded,1001,W1108AD,37.00000,C-04-40-2,34,1
G0,WH Bonded,1001,3J049A,441.00000,A-11-53-1,34,2
G0,WH Bonded,1001,3J049A,441.00000,C-16-39-2,34,2
G0,WH Bonded,1001,W1108A,880.00000,B-04-45-2,34,2
G0,WH Bonded,1001,W1108A,880.00000,B-04-46-2,34,2
G0,WH Bonded,1001,W1108A,880.00000,B-04-47-2,34,2
G0,WH Bonded,1001,W1108A,880.00000,B-05-49-2,34,2
G0,WH Bonded,1001,W1108A,880.00000,B-05-51-2,34,2
G0,WH Bonded,1001,W1108A,880.00000,B-09-39-1,34,2
G0,WH Bonded,1001,W1108A,880.00000,B-10-53-2,34,2
G0,WH Bonded,1001,W1108A,607.00000,B-11-46-2,34,2
G8,WH Bonded,1001,5RC83A#AB2,2.00000,A-11-20-1,34,2
G8,WH Bonded,1001,5RC83A#AB2,2.00000,A-11-22-1,34,2
G8,WH Bonded,1001,5RC83A#AB2,2.00000,A-11-23-1,34,2
G8,WH Bonded,1001,5RC83A#AB2,2.00000,A-11-24-1,34,2
G8,WH Bonded,1001,5RC83A#AB2,2.00000,A-11-25-1,34,2
G8,WH Bonded,1001,5RC84A#AB2,2.00000,A-12-28-1,34,2
G8,WH Bonded,1001,5RC84A#AB2,2.00000,A-12-29-1,34,2
G8,WH Bonded,1001,5RC84A#AB2,2.00000,A-12-30-1,34,2
G8,WH Bonded,1001,5RC84A#AB2,2.00000,A-12-31-1,34,2
G8,WH Bonded,1001,5RC84A#AB2,2.00000,A-12-35-1,34,2
G8,WH Bonded,1001,5RC85A#AB2,2.00000,A-10-12-1,34,2
G8,WH Bonded,1001,5RC85A#AB2,2.00000,A-10-13-1,34,2
G8,WH Bonded,1001,5RC85A#AB2,2.00000,A-10-21-1,34,2
G8,WH Bonded,1001,5RC85A#AB2,4.00000,C-04-31-1,34,4
G8,WH Bonded,1001,5RC86A#AB2,2.00000,B-09-12-1,34,2
G8,WH Bonded,1001,5RC86A#AB2,2.00000,B-09-13-1,34,2
G8,WH Bonded,1001,5RC86A#AB2,2.00000,B-09-14-1,34,2
G8,WH Bonded,1001,5RC87A#AB2,4.00000,A-07-18-1,34,4
G8,WH Bonded,1001,5RC87A#AB2,2.00000,C-14-12-1,34,2
G8,WH Bonded,1001,5RC87A#AB2,4.00000,C-15-12-1,34,4
G8,WH Bonded,1001,5RC87A#AB2,4.00000,C-15-13-1,34,4
G8,WH Bonded,1001,5RC88A#AB2,4.00000,A-07-17-1,34,4
G8,WH Bonded,1001,5RC88A#AB2,1.00000,A-15-12-1,34,1
G8,WH Bonded,1001,5RC89A#AB2,1.00000,A-08-12-1,34,1
G8,WH Bonded,1001,5RC89A#AB2,2.00000,A-08-13-1,34,2
G8,WH Bonded,1001,5RC89A#AB2,2.00000,A-08-14-1,34,2
G8,WH Bonded,1001,5RC89A#AB2,2.00000,A-08-15-1,34,2
G8,WH Bonded,1001,5RC89A#AB2,4.00000,A-08-16-1,34,4
G8,WH Bonded,1001,5RC89A#AB2,4.00000,A-08-17-1,34,4
G8,WH Bonded,1001,5RC89A#AB2,4.00000,A-08-18-1,34,4
G8,WH Bonded,1001,5RC90A#AB2,2.00000,A-07-25-1,34,2
G8,WH Bonded,1001,5RC90A#AB2,4.00000,A-12-21-1,34,4
G8,WH Bonded,1001,5RC90A#AB2,4.00000,A-12-22-1,34,4
G8,WH Bonded,1001,5RC90A#AB2,4.00000,A-12-23-1,34,4
G8,WH Bonded,1001,5RC90A#AB2,2.00000,A-12-24-1,34,2
G8,WH Bonded,1001,5RC90A#AB2,2.00000,A-12-25-1,34,2
G8,WH Bonded,1001,5RC90A#AB2,2.00000,A-12-26-1,34,2
G8,WH Bonded,1001,5RC90A#AB2,4.00000,C-04-28-1,34,4
G8,WH Bonded,1001,5RC90A#AB2,2.00000,C-04-29-1,34,2
G8,WH Bonded,1001,5RC90A#AB2,4.00000,C-04-30-1,34,4
G8,WH Bonded,1001,5RC90A#AB2,4.00000,C-12-27-1,34,4
G8,WH Bonded,1001,5RC90A#AB2,4.00000,C-12-28-1,34,4
G8,WH Bonded,1001,5RC90A#AB2,4.00000,C-12-29-1,34,4
G8,WH Bonded,1001,5RC90A#AB2,2.00000,C-13-28-1,34,2
G8,WH Bonded,1001,5RC90A#AB2,2.00000,C-13-29-1,34,2
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-02-14-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-02-15-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-02-16-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-02-17-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-02-18-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-02-19-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-02-20-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-04-12-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-04-13-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-04-14-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-04-15-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-04-21-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-04-24-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-04-25-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,4.00000,C-04-26-1,34,4
G8,WH Bonded,1001,8GS43A#AB2,2.00000,C-04-27-1,34,2
G8,WH Bonded,1001,8PE93A#AB2,2.00000,B-02-12-1,34,2
G8,WH Bonded,1001,8PE93A#AB2,2.00000,B-03-12-1,34,2
G8,WH Bonded,1001,8PE95A#AB2,3.00000,A-11-17-1,34,3
G8,WH Bonded,1001,8PE95A#AB2,4.00000,A-12-32-1,34,4
G8,WH Bonded,1001,8PE95A#AB2,4.00000,A-12-33-1,34,4
G8,WH Bonded,1001,8PE95A#AB2,4.00000,A-12-34-1,34,4
G8,WH Bonded,1001,8PE95A#AB2,4.00000,A-12-36-1,34,4
G8,WH Bonded,1001,8PE95A#AB2,4.00000,A-12-37-1,34,4
G8,WH Bonded,1001,8PE95A#AB2,4.00000,A-14-16-1,34,4
G8,WH Bonded,1001,8PE95A#AB2,2.00000,A-14-17-1,34,2
G8,WH Bonded,1001,8PE95A#AB2,2.00000,A-14-17-1,34,2
G8,WH Bonded,1001,8PE95A#AB2,4.00000,A-14-18-1,34,4
G8,WH Bonded,1001,8PE95A#AB2,4.00000,A-16-23-1,34,4
G8,WH Bonded,1001,8PE95A#AB2,2.00000,A-16-24-1,34,2
G8,WH Bonded,1001,8PE95A#AB2,4.00000,C-12-20-1,34,4
G8,WH Bonded,1001,8PE95A#AB2,4.00000,C-12-21-1,34,4
G8,WH Bonded,1001,8PE96A#AB2,4.00000,B-04-12-1,34,4
G8,WH Bonded,1001,8PE96A#AB2,2.00000,C-07-48-1,34,2
G8,WH Bonded,1001,8PE97A#AB2,1.00000,B-04-33-1,34,1
G8,WH Bonded,1001,8PE97A#AB2,2.00000,C-15-35-1,34,2
G8,WH Bonded,1001,8PE98A#AB2,2.00000,B-04-21-1,34,2
G8,WH Bonded,1001,8PE98A#AB2,4.00000,B-04-24-1,34,4
G8,WH Bonded,1001,8PE98A#AB2,4.00000,B-04-29-1,34,4
G8,WH Bonded,1001,8PE98A#AB2,4.00000,B-04-30-1,34,4
G8,WH Bonded,1001,8PE98A#AB2,4.00000,B-04-31-1,34,4
G8,WH Bonded,1001,X3A59A#AB2,4.00000,A-15-13-1,34,4
G8,WH Bonded,1001,X3A59A#AB2,3.00000,A-15-14-1,34,3
G8,WH Bonded,1001,X3A59A#AB2,1.00000,A-15-14-1,34,1
G8,WH Bonded,1001,X3A59A#AB2,4.00000,B-04-28-1,34,4
G8,WH Bonded,1001,X3A59A#AB2,2.00000,B-05-30-1,34,2
G8,WH Bonded,1001,X3A60A#AB2,4.00000,A-16-25-1,34,4
G8,WH Bonded,1001,X3A60A#AB2,4.00000,A-16-26-1,34,4
G8,WH Bonded,1001,X3A60A#AB2,4.00000,A-16-27-1,34,4
G8,WH Bonded,1001,X3A60A#AB2,4.00000,A-16-28-1,34,4
G8,WH Bonded,1001,X3A60A#AB2,4.00000,A-16-29-1,34,4
G8,WH Bonded,1001,X3A60A#AB2,4.00000,A-16-30-1,34,4
G8,WH Bonded,1001,X3A60A#AB2,4.00000,A-16-31-1,34,4
G8,WH Bonded,1001,X3A60A#AB2,2.00000,A-16-32-1,34,2
G8,WH Bonded,1001,X3A60A#AB2,2.00000,A-16-32-1,34,2
G8,WH Bonded,1001,X3A60A#AB2,4.00000,A-16-33-1,34,4
G8,WH Bonded,1001,X3A60A#AB2,1.00000,C-12-12-1,34,1
G8,WH Bonded,1001,X3A60A#AB2,4.00000,C-12-30-1,34,4
G8,WH Bonded,1001,X3A60A#AB2,4.00000,C-12-31-1,34,4
G8,WH Bonded,1001,X3A60A#AB2,4.00000,C-12-32-1,34,4
G8,WH Bonded,1001,X3A63A#AB2,4.00000,A-08-28-1,34,4
G8,WH Bonded,1001,X3A63A#AB2,4.00000,A-08-29-1,34,4
G8,WH Bonded,1001,X3A63A#AB2,4.00000,A-08-30-1,34,4
G8,WH Bonded,1001,X3A63A#AB2,4.00000,A-08-31-1,34,4
G8,WH Bonded,1001,X3A63A#AB2,4.00000,A-08-34-1,34,4
G8,WH Bonded,1001,X3A63A#AB2,2.00000,A-15-20-1,34,2
G8,WH Bonded,1001,X3A63A#AB2,2.00000,A-15-21-1,34,2
G8,WH Bonded,1001,X3A63A#AB2,2.00000,A-15-22-1,34,2
G8,WH Bonded,1001,X3A63A#AB2,2.00000,A-15-23-1,34,2
G8,WH Bonded,1001,X3A63A#AB2,2.00000,A-15-24-1,34,2
G8,WH Bonded,1001,X3A63A#AB2,2.00000,A-15-25-1,34,2
G8,WH Bonded,1001,X3A63A#AB2,4.00000,A-15-26-1,34,4
G8,WH Bonded,1001,X3A63A#AB2,1.00000,A-16-22-1,34,1
G8,WH Bonded,1001,X3A63A#AB2,2.00000,C-03-24-1,34,2
G8,WH Bonded,1001,X3A63A#AB2,2.00000,C-11-13-1,34,2
G8,WH Bonded,1001,X3A65A#AB2,1.00000,B-04-25-1,34,1
G8,WH Bonded,1001,X3A65A#AB2,4.00000,B-04-26-1,34,4
G8,WH Bonded,1001,X3A65A#AB2,2.00000,B-04-27-1,34,2
G8,WH Bonded,1001,X3A66A#AB2,4.00000,B-08-12-1,34,4
G8,WH Bonded,1001,X3A66A#AB2,4.00000,B-08-13-1,34,4
G8,WH Bonded,1001,X3A66A#AB2,4.00000,B-08-14-1,34,4
G8,WH Bonded,1001,X3A66A#AB2,2.00000,B-08-24-1,34,2
G8,WH Bonded,1001,X3A71A#AB2,1.00000,A-11-21-1,34,1
G8,WH Bonded,1001,X3A71A#AB2,1.00000,A-12-15-1,34,1
G8,WH Bonded,1001,X3A71A#AB2,2.00000,B-02-34-1,34,2
G8,WH Bonded,1001,X3A86A#AB2,2.00000,A-10-17-1,34,2
G8,WH Bonded,1001,X3A86A#AB2,2.00000,A-10-18-1,34,2
G8,WH Bonded,1001,X3A86A#AB2,2.00000,A-10-19-1,34,2
G8,WH Bonded,1001,X3A86A#AB2,4.00000,A-10-20-1,34,4
G8,WH Bonded,1001,X3A92A#AB2,1.00000,A-07-16-1,34,1
G8,WH Bonded,1001,X3A92A#AB2,2.00000,A-07-20-1,34,2
G8,WH Bonded,1001,X3A92A#AB2,2.00000,A-07-21-1,34,2
G8,WH Bonded,1001,X3A92A#AB2,4.00000,A-10-22-1,34,4
G8,WH Bonded,1001,X3A92A#AB2,4.00000,A-10-23-1,34,4
G8,WH Bonded,1001,X3A92A#AB2,4.00000,A-10-24-1,34,4
G8,WH Bonded,1001,X3A92A#AB2,4.00000,A-10-25-1,34,4
GL,WH Bonded,1001,W9005MC,102.00000,A-08-09-3,34,3
GL,WH Bonded,1001,W9005MC,104.00000,A-08-10-3,34,3
GL,WH Bonded,1001,W9005MC,104.00000,A-08-11-3,34,3
GL,WH Bonded,1001,W9005MC,104.00000,A-09-09-3,34,3
GL,WH Bonded,1001,W9005MC,104.00000,A-09-10-3,34,3
GL,WH Bonded,1001,W9005MC,104.00000,A-09-11-3,34,3
GL,WH Bonded,1001,W9005MC,104.00000,A-10-09-3,34,3
GL,WH Bonded,1001,W9005MC,104.00000,A-10-10-3,34,3
GL,WH Bonded,1001,W9005MC,104.00000,A-10-11-3,34,3
GL,WH Bonded,1001,W9005MC,83.00000,A-15-39-3,34,3
GL,WH Bonded,1001,W9005MC,8.00000,A-15-40-3,34,1
GL,WH Bonded,1001,W9005MC,51.00000,A-15-40-3,34,2
GL,WH Bonded,1001,W9005MC,88.00000,B-06-52-1,34,3
GL,WH Bonded,1001,W9005MC,45.00000,B-08-40-1,34,2
GL,WH Bonded,1001,W9015MC,80.00000,A-09-36-3,34,3
GL,WH Bonded,1001,W9015MC,54.00000,A-09-37-3,34,2
GL,WH Bonded,1001,W9015MC,19.00000,B-06-53-1,34,1
GL,WH Bonded,1001,W9015MC,80.00000,B-10-54-1,34,3
GL,WH Bonded,1001,W9015MC,5.00000,C-15-49-1,34,1
GL,WH Bonded,1001,W9044MC,82.00000,A-10-48-3,34,3
GL,WH Bonded,1001,W9044MC,77.00000,A-10-49-3,34,3
GL,WH Bonded,1001,W9051MC,79.00000,A-06-37-1,34,3
GL,WH Bonded,1001,W9051MC,81.00000,A-06-38-1,34,3
GL,WH Bonded,1001,W9051MC,81.00000,A-06-39-1,34,3
GL,WH Bonded,1001,W9051MC,81.00000,A-07-41-1,34,3
GL,WH Bonded,1001,W9051MC,46.00000,A-07-42-1,34,2
GL,WH Bonded,1001,W9052MC,37.00000,A-03-33-1,34,2
GL,WH Bonded,1001,W9052MC,81.00000,A-03-34-1,34,3
GL,WH Bonded,1001,W9052MC,81.00000,A-03-35-1,34,3
GL,WH Bonded,1001,W9052MC,81.00000,A-03-36-1,34,3
GL,WH Bonded,1001,W9052MC,81.00000,A-04-30-1,34,3
GL,WH Bonded,1001,W9052MC,27.00000,A-04-31-1,34,1
GL,WH Bonded,1001,W9053MC,38.00000,A-02-35-1,34,2
GL,WH Bonded,1001,W9053MC,81.00000,A-02-36-1,34,3
GL,WH Bonded,1001,W9053MC,81.00000,A-02-37-1,34,3
GL,WH Bonded,1001,W9053MC,81.00000,A-02-38-1,34,3
GL,WH Bonded,1001,W9053MC,81.00000,A-02-39-1,34,3
GL,WH Bonded,1001,W9053MC,36.00000,A-02-40-1,34,1
GL,WH Bonded,1001,W9025MC,182.00000,A-03-16-2,34,5
GL,WH Bonded,1001,W9025MC,182.00000,A-16-41-2,34,5
GL,WH Bonded,1001,W9025MC,23.00000,B-01-39-2,34,1
GL,WH Bonded,1001,W9100MC,270.00000,A-10-43-2,34,6
GL,WH Bonded,1001,W9100MC,270.00000,A-10-48-2,34,6
GL,WH Bonded,1001,W9100MC,270.00000,A-10-49-2,34,6
GL,WH Bonded,1001,W9100MC,270.00000,A-10-50-2,34,6
GL,WH Bonded,1001,W9100MC,41.00000,A-11-53-3,34,1
GL,WH Bonded,1001,W9100MC,70.00000,A-11-53-3,34,2
GL,WH Bonded,1001,W9100MC,270.00000,A-12-48-2,34,6
GL,WH Bonded,1001,W9100MC,208.00000,B-14-48-2,34,5
GL,WH Bonded,1001,W9100MC,62.00000,B-14-48-2,34,2
GL,WH Bonded,1001,W9101MC,86.00000,A-02-24-3,34,2
GL,WH Bonded,1001,W9101MC,270.00000,B-02-51-2,34,6
GL,WH Bonded,1001,W9101MC,46.00000,B-03-43-3,34,2
GL,WH Bonded,1001,W9101MC,270.00000,B-03-44-3,34,6
GL,WH Bonded,1001,W9101MC,216.00000,B-03-48-2,34,5
GL,WH Bonded,1001,W9101MC,51.00000,B-03-48-2,34,2
GL,WH Bonded,1001,W9101MC,270.00000,B-07-52-1,34,6
GL,WH Bonded,1001,W9101MC,150.00000,B-07-53-1,34,4
GL,WH Bonded,1001,W9101MC,110.00000,B-12-48-1,34,3
GL,WH Bonded,1001,W9101MC,270.00000,C-03-46-2,34,6
GL,WH Bonded,1001,W9102MC,187.00000,A-02-25-3,34,5
GL,WH Bonded,1001,W9102MC,154.00000,A-05-41-3,34,4
GL,WH Bonded,1001,W9102MC,270.00000,A-06-36-3,34,6
GL,WH Bonded,1001,W9102MC,270.00000,A-06-37-3,34,6
GL,WH Bonded,1001,W9102MC,270.00000,A-06-41-2,34,6
GL,WH Bonded,1001,W9102MC,144.00000,B-10-51-1,34,4
GL,WH Bonded,1001,W9103MC,153.00000,A-02-26-3,34,4
GL,WH Bonded,1001,W9103MC,173.00000,A-05-34-3,34,4
